spec_name,target_active_bits,mean_target_bit_probability,median_target_bit_probability,recall_at_top_16,recall_at_top_32,recall_at_top_48,recall_at_top_64,recall_at_top_80,recall_at_top_96,recall_at_top_128,recall_at_top_160,recall_at_top_256,recall_at_top_512,threshold_0_187_precision,threshold_0_187_recall,threshold_0_187_f1,threshold_0_187_pred_bits,threshold_0_25_precision,threshold_0_25_recall,threshold_0_25_f1,threshold_0_25_pred_bits,threshold_0_3_precision,threshold_0_3_recall,threshold_0_3_f1,threshold_0_3_pred_bits
MassSpecGymID0372970,67,0.10160212963819504,0.014071162790060043,0.05970149253731343,0.11940298507462686,0.14925373134328357,0.208955223880597,0.22388059701492538,0.26865671641791045,0.34328358208955223,0.4626865671641791,0.5223880597014925,0.7164179104477612,0.20512820512820512,0.11940298507462686,0.15094339622641506,39,0.24242424242424243,0.11940298507462686,0.16,33,0.24242424242424243,0.11940298507462686,0.16,33
MassSpecGymID0388215,68,0.24387820065021515,0.09410768747329712,0.1323529411764706,0.20588235294117646,0.20588235294117646,0.25,0.3382352941176471,0.39705882352941174,0.5294117647058824,0.5882352941176471,0.6911764705882353,0.8676470588235294,0.28205128205128205,0.3235294117647059,0.3013698630136986,78,0.2463768115942029,0.25,0.24817518248175185,69,0.265625,0.25,0.25757575757575757,64
MassSpecGymID0341761,76,0.20432069897651672,0.020033422857522964,0.17105263157894737,0.21052631578947367,0.2236842105263158,0.25,0.2631578947368421,0.2631578947368421,0.34210526315789475,0.3684210526315789,0.40789473684210525,0.5263157894736842,0.2878787878787879,0.25,0.26760563380281693,66,0.34,0.2236842105263158,0.2698412698412698,50,0.37777777777777777,0.2236842105263158,0.2809917355371901,45
MassSpecGymID0347534,71,0.23109318315982819,0.0315360501408577,0.11267605633802817,0.15492957746478872,0.19718309859154928,0.2676056338028169,0.28169014084507044,0.29577464788732394,0.30985915492957744,0.352112676056338,0.49295774647887325,0.6197183098591549,0.25301204819277107,0.29577464788732394,0.2727272727272727,83,0.28169014084507044,0.28169014084507044,0.28169014084507044,71,0.29850746268656714,0.28169014084507044,0.28985507246376807,67
MassSpecGymID0380322,79,0.26318708062171936,0.050569724291563034,0.17721518987341772,0.26582278481012656,0.3291139240506329,0.379746835443038,0.4050632911392405,0.4177215189873418,0.4810126582278481,0.4936708860759494,0.5316455696202531,0.6455696202531646,0.4918032786885246,0.379746835443038,0.4285714285714286,61,0.5510204081632653,0.34177215189873417,0.42187499999999994,49,0.6190476190476191,0.3291139240506329,0.4297520661157025,42
MassSpecGymID0208832,57,0.2940128445625305,0.034989919513463974,0.22807017543859648,0.2982456140350877,0.3508771929824561,0.3684210526315789,0.38596491228070173,0.40350877192982454,0.47368421052631576,0.49122807017543857,0.5964912280701754,0.7017543859649122,0.39622641509433965,0.3684210526315789,0.38181818181818183,53,0.4166666666666667,0.3508771929824561,0.38095238095238093,48,0.4444444444444444,0.3508771929824561,0.39215686274509803,45
MassSpecGymID0383008,62,0.23037968575954437,0.07599474489688873,0.1774193548387097,0.27419354838709675,0.3225806451612903,0.3548387096774194,0.4032258064516129,0.4032258064516129,0.5,0.5645161290322581,0.6774193548387096,0.7903225806451613,0.5128205128205128,0.3225806451612903,0.39603960396039606,39,0.5294117647058824,0.2903225806451613,0.375,34,0.5517241379310345,0.25806451612903225,0.3516483516483517,29
MassSpecGymID0380040,51,0.26282522082328796,0.06396512687206268,0.21568627450980393,0.3333333333333333,0.39215686274509803,0.4117647058823529,0.45098039215686275,0.49019607843137253,0.5098039215686274,0.5686274509803921,0.6274509803921569,0.7647058823529411,0.47368421052631576,0.35294117647058826,0.40449438202247195,38,0.5517241379310345,0.3137254901960784,0.4,29,0.5769230769230769,0.29411764705882354,0.3896103896103896,26
MassSpecGymID0379306,73,0.5303975939750671,0.573327898979187,0.2191780821917808,0.3835616438356164,0.5616438356164384,0.6712328767123288,0.7397260273972602,0.7808219178082192,0.8082191780821918,0.8904109589041096,0.958904109589041,0.9863013698630136,0.6511627906976745,0.7671232876712328,0.7044025157232704,86,0.7012987012987013,0.7397260273972602,0.7200000000000001,77,0.7222222222222222,0.7123287671232876,0.7172413793103448,72
MassSpecGymID0346101,80,0.5292283892631531,0.5241475105285645,0.2,0.3625,0.4875,0.5875,0.6875,0.7625,0.85,0.8875,0.95,1.0,0.6941176470588235,0.7375,0.7151515151515152,85,0.6842105263157895,0.65,0.6666666666666667,76,0.746031746031746,0.5875,0.6573426573426574,63
MassSpecGymID0203740,43,0.4350416362285614,0.4442617893218994,0.27906976744186046,0.5581395348837209,0.6744186046511628,0.7209302325581395,0.7674418604651163,0.7906976744186046,0.8604651162790697,0.8837209302325582,0.9302325581395349,0.9302325581395349,0.6041666666666666,0.6744186046511628,0.6373626373626373,48,0.6428571428571429,0.627906976744186,0.6352941176470588,42,0.7027027027027027,0.6046511627906976,0.6499999999999999,37
MassSpecGymID0380514,83,0.6938228607177734,0.9210036396980286,0.1927710843373494,0.3855421686746988,0.5783132530120482,0.7469879518072289,0.7469879518072289,0.7590361445783133,0.7831325301204819,0.7951807228915663,0.8554216867469879,0.8795180722891566,0.7045454545454546,0.7469879518072289,0.7251461988304094,88,0.7948717948717948,0.7469879518072289,0.7701863354037267,78,0.8378378378378378,0.7469879518072289,0.7898089171974523,74
MassSpecGymID0105109,78,0.4597571790218353,0.4135858118534088,0.20512820512820512,0.3974358974358974,0.5769230769230769,0.717948717948718,0.782051282051282,0.8076923076923077,0.8846153846153846,0.9230769230769231,0.9615384615384616,0.9871794871794872,0.7922077922077922,0.782051282051282,0.7870967741935484,77,0.9166666666666666,0.7051282051282052,0.7971014492753623,60,0.9122807017543859,0.6666666666666666,0.7703703703703703,57
MassSpecGymID0081883,68,0.6724137663841248,0.8026015162467957,0.23529411764705882,0.47058823529411764,0.6470588235294118,0.7794117647058824,0.8970588235294118,0.9411764705882353,0.9558823529411765,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.8194444444444444,0.8676470588235294,0.8428571428571429,72,0.8059701492537313,0.7941176470588235,0.8,67,0.8059701492537313,0.7941176470588235,0.8,67
MassSpecGymID0152325,81,0.7718468904495239,0.8725693225860596,0.19753086419753085,0.3950617283950617,0.5925925925925926,0.7901234567901234,0.9012345679012346,0.9876543209876543,1.0,1.0,1.0,1.0,0.7692307692307693,0.9876543209876543,0.864864864864865,104,0.8333333333333334,0.9876543209876543,0.903954802259887,96,0.875,0.9506172839506173,0.9112426035502958,88
MassSpecGymID0188657,32,0.6811031699180603,0.8190311193466187,0.5,0.875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.9310344827586207,0.84375,0.8852459016393444,29,0.9310344827586207,0.84375,0.8852459016393444,29,1.0,0.84375,0.9152542372881356,27
MassSpecGymID0162714,73,0.6847866773605347,0.8242604732513428,0.2191780821917808,0.4383561643835616,0.6575342465753424,0.863013698630137,0.9726027397260274,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8554216867469879,0.9726027397260274,0.9102564102564102,83,0.8875,0.9726027397260274,0.9281045751633986,80,0.9315068493150684,0.9315068493150684,0.9315068493150684,73
MassSpecGymID0185133,74,0.7594208121299744,0.822823166847229,0.21621621621621623,0.43243243243243246,0.6486486486486487,0.8513513513513513,0.9594594594594594,0.9864864864864865,1.0,1.0,1.0,1.0,0.8275862068965517,0.972972972972973,0.8944099378881988,87,0.8554216867469879,0.9594594594594594,0.9044585987261146,83,0.8875,0.9594594594594594,0.922077922077922,80
MassSpecGymID0058062,105,0.8001638054847717,0.878888726234436,0.1523809523809524,0.3047619047619048,0.45714285714285713,0.6095238095238096,0.7619047619047619,0.9142857142857143,0.9523809523809523,0.9619047619047619,0.9714285714285714,0.9714285714285714,0.8672566371681416,0.9333333333333333,0.8990825688073395,113,0.9603960396039604,0.9238095238095239,0.941747572815534,101,0.9897959183673469,0.9238095238095239,0.9556650246305419,98
MassSpecGymID0018517,41,0.7319366335868835,0.8263216018676758,0.3902439024390244,0.7804878048780488,0.975609756097561,0.975609756097561,0.975609756097561,1.0,1.0,1.0,1.0,1.0,0.975,0.9512195121951219,0.9629629629629629,40,0.9743589743589743,0.926829268292683,0.9500000000000001,39,0.9743589743589743,0.926829268292683,0.9500000000000001,39
