left,right,spectra_compared,mean_jaccard_candidate_overlap,mean_shared_candidate_count
a15_r10_t1_seed42,a17_r2_t1_seed42,6,0.0,0
a15_r10_t1_seed42,a18_r4_t1_seed42,6,0.0,0
a15_r10_t1_seed42,a19_r6_t1_seed42,6,0.0,0
a15_r10_t1_seed42,a20_r4_t08_seed42,6,0.0,0
a15_r10_t1_seed42,a22_r4_t1_seed123,6,0.0,0
a17_r2_t1_seed42,a18_r4_t1_seed42,6,0.0,0
a17_r2_t1_seed42,a19_r6_t1_seed42,6,0.0,0
a17_r2_t1_seed42,a20_r4_t08_seed42,6,0.0,0
a17_r2_t1_seed42,a22_r4_t1_seed123,6,0.0,0
a18_r4_t1_seed42,a19_r6_t1_seed42,6,0.02655894761157919,1
a18_r4_t1_seed42,a20_r4_t08_seed42,6,0.004273504273504273,0.16666666666666666
a18_r4_t1_seed42,a22_r4_t1_seed123,6,0.0,0
a19_r6_t1_seed42,a20_r4_t08_seed42,6,0.0,0
a19_r6_t1_seed42,a22_r4_t1_seed123,6,0.0,0
a20_r4_t08_seed42,a22_r4_t1_seed123,6,0.004273504273504273,0.16666666666666666
