threshold,precision_mean,precision_median,recall_mean,recall_median,f1_mean,f1_median,pred_bits_mean,pred_bits_median
0.05,0.3707596374921119,0.3365526461368247,0.7576725683631319,0.8348936170212766,0.48848149505028904,0.4652173913043478,130.28,130.0
0.1,0.5151865985019509,0.5171195652173912,0.6952994544567799,0.7593103448275862,0.5879782090301683,0.619382964453387,79.8,78.0
0.15,0.5957885343873868,0.6318238213399503,0.6556258829516222,0.701063829787234,0.6213033032117515,0.6641604010025063,62.865,59.0
0.187,0.6334874754671,0.6763795045045045,0.6319499559006823,0.6655015197568388,0.6285113787411033,0.6613478187065014,56.15,53.0
0.2,0.6468162053225582,0.6885304659498208,0.6252737194498227,0.6595744680851063,0.6308956916355815,0.6669565217391304,54.275,50.5
0.25,0.6805612116669755,0.7325203252032519,0.6016543075977802,0.6137054434926775,0.6308629907982196,0.6653493975903614,49.19,46.5
0.3,0.7044754614899614,0.7946491849751949,0.5825025664272372,0.5644827586206898,0.6274205459366649,0.6665160123966942,45.73,44.0
0.4,0.7394469216396321,0.8333333333333334,0.5503644254744898,0.5,0.6151532320270526,0.6358281358281359,40.89,37.0
0.5,0.7699279937056693,0.8559907834101382,0.5196111739579927,0.4670109007458405,0.5995823494686394,0.5998773257002659,37.085,34.0
