shard_quality_group,chem_class,spectra,unique_targets,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,near_miss_high_tanimoto_share,mol_wt_median,heavy_atoms_median,ring_count_median,max_ring_size_median,amide_count_median,ester_count_median,chiral_centers_median,rotatable_bonds_median
best_8_shards,aromatic_rich_polycycle,1575,424,0.23492063492063492,0.2584126984126984,0.5611917544499276,0.5792287237965872,0.9879365079365079,0.4876190476190476,0.05587301587301587,434.4960000000004,31.0,4.0,6.0,0.0,0.0,0.0,6.0
best_8_shards,other_midsize,884,186,0.2850678733031674,0.3054298642533937,0.6469233566094442,0.6688544629352395,0.995475113122172,0.32918552036199095,0.07239819004524888,466.48700000000014,33.0,4.0,6.0,1.0,0.0,0.0,8.0
best_8_shards,small_heteroaromatic,577,89,0.42114384748700173,0.45233968804159447,0.6657676695356955,0.6781633633416488,1.0,0.3379549393414211,0.010398613518197574,363.86400000000015,24.0,3.0,6.0,0.0,0.0,0.0,4.0
best_8_shards,glycoside_or_sugar_rich,333,27,0.018018018018018018,0.03303303303303303,0.6928460372460855,0.8397655013624254,0.7567567567567568,0.10810810810810811,0.25225225225225223,733.9370000000002,51.0,3.0,7.0,0.0,1.0,18.0,9.0
best_8_shards,polycyclic_aliphatic_like,277,69,0.19855595667870035,0.22021660649819494,0.5846940411880128,0.6502922890364908,0.9675090252707581,0.40794223826714804,0.05054151624548736,486.6050000000003,34.0,4.0,6.0,1.0,0.0,3.0,6.0
best_8_shards,other_macrocycle,84,16,0.07142857142857142,0.10714285714285714,0.5949265077000573,0.7979981462870326,0.6547619047619048,0.39285714285714285,0.16666666666666666,867.854,62.0,6.0,15.0,0.0,2.0,12.0,8.0
best_8_shards,large_peptide_like,70,21,0.04285714285714286,0.04285714285714286,0.6107752914939608,0.8346152880362102,0.9,0.2714285714285714,0.08571428571428572,628.814,46.0,4.0,6.0,4.0,0.0,4.0,12.5
best_8_shards,cyclic_depsipeptide_like,22,3,0.0,0.0,0.5470180680805986,0.8153778070753271,0.9545454545454546,0.3181818181818182,0.0,783.963,57.0,5.5,18.0,3.5,2.0,6.5,8.0
best_8_shards,lipid_like_flexible,21,6,0.047619047619047616,0.09523809523809523,0.5327929190936542,0.74146364345437,1.0,0.5238095238095238,0.23809523809523808,410.73000000000025,30.0,0.0,0.0,0.0,0.0,0.0,11.0
best_8_shards,cyclic_peptide_like,12,4,0.0,0.0,0.4548238217830658,0.852741519610087,0.8333333333333334,0.5,0.0,603.6810000000005,43.0,2.0,15.0,5.0,0.0,4.0,11.0
best_8_shards,small_aliphatic_or_acyclic,3,1,0.6666666666666666,0.6666666666666666,0.8030303021272024,0.8472222288449606,1.0,0.3333333333333333,0.0,250.30999999999997,18.0,0.0,0.0,0.0,0.0,0.0,7.0
middle_20_shards,aromatic_rich_polycycle,2606,656,0.13545663852647735,0.15732924021488873,0.47421716424084037,0.4999973915191403,0.9785111281657713,0.6039907904834996,0.04182655410590944,426.4840000000001,30.0,4.0,6.0,0.0,0.0,0.0,5.0
middle_20_shards,glycoside_or_sugar_rich,1689,195,0.08229721728833629,0.09354647720544701,0.5491715990351,0.5787125456727525,0.8697454114860864,0.428656009473061,0.12078152753108348,747.9640000000002,52.0,5.0,6.0,0.0,1.0,15.0,10.0
middle_20_shards,other_midsize,1573,262,0.10743801652892562,0.11951684678957407,0.469249253785883,0.5533903166651726,0.9434202161474888,0.5816910362364908,0.03242212333121424,471.6850000000001,33.0,4.0,6.0,0.0,0.0,1.0,8.0
middle_20_shards,polycyclic_aliphatic_like,1450,246,0.04206896551724138,0.05655172413793103,0.38632452080989704,0.45215863266381723,0.9144827586206896,0.7068965517241379,0.017241379310344827,462.5845000000003,33.0,4.0,6.0,1.0,0.0,6.0,5.0
middle_20_shards,small_heteroaromatic,1282,381,0.11544461778471139,0.1357254290171607,0.41119914181681577,0.4431296129029552,0.9976599063962559,0.7059282371294852,0.014820592823712949,347.4549999999999,24.0,3.0,6.0,1.0,0.0,0.0,5.0
middle_20_shards,other_macrocycle,306,42,0.032679738562091505,0.049019607843137254,0.47303211635429093,0.6163509054219022,0.673202614379085,0.7450980392156863,0.16666666666666666,770.8690000000001,55.0,6.0,14.0,0.0,4.0,10.0,7.0
middle_20_shards,cyclic_peptide_like,140,24,0.0,0.0,0.4268572422010558,0.6621208491602114,0.7785714285714286,0.75,0.007142857142857143,849.0049999999999,62.0,4.0,19.0,7.0,0.0,7.0,12.0
middle_20_shards,large_peptide_like,112,22,0.0,0.0,0.6547130108145731,0.6961324053949544,0.7946428571428571,0.29464285714285715,0.3482142857142857,770.8509999999999,57.0,4.0,6.0,4.0,0.0,1.0,16.0
middle_20_shards,lipid_like_flexible,78,5,0.46153846153846156,0.46153846153846156,0.7789216661491455,0.8119193498904889,0.7948717948717948,0.2692307692307692,0.1794871794871795,444.07999999999987,29.0,0.0,0.0,0.0,0.0,0.0,10.0
middle_20_shards,cyclic_depsipeptide_like,71,5,0.0,0.0,0.5519804648110564,0.7174389721222327,1.0,0.352112676056338,0.0,783.963,57.0,4.0,18.0,3.0,3.0,6.0,9.0
middle_20_shards,small_aliphatic_or_acyclic,2,1,0.0,0.0,0.1273141391575336,0.171875,1.0,1.0,0.0,337.41600000000005,24.0,0.0,0.0,1.0,1.0,3.0,9.0
worst_8_shards,glycoside_or_sugar_rich,1468,87,0.0006811989100817438,0.004768392370572207,0.5140482341459564,0.5317956058902296,0.8671662125340599,0.4502724795640327,0.06403269754768393,767.0100000000006,54.0,6.0,6.0,0.0,0.0,15.0,10.0
worst_8_shards,polycyclic_aliphatic_like,804,58,0.008706467661691543,0.009950248756218905,0.332489425316453,0.4339290795782905,0.8196517412935324,0.8134328358208955,0.006218905472636816,629.7470000000002,45.0,7.0,6.0,0.0,2.0,13.0,10.0
worst_8_shards,other_midsize,798,62,0.002506265664160401,0.002506265664160401,0.33524650469758455,0.4907378730245103,0.7944862155388471,0.9060150375939849,0.0012531328320802004,690.8630000000003,49.0,5.0,7.0,2.0,0.0,3.0,12.0
worst_8_shards,aromatic_rich_polycycle,657,47,0.0091324200913242,0.0106544901065449,0.3081813006799333,0.40666233150563463,0.8295281582952816,0.8797564687975646,0.0060882800608828,591.7300000000001,42.0,5.0,6.0,0.0,0.0,2.0,9.0
worst_8_shards,other_macrocycle,76,30,0.0,0.0,0.26650258143873584,0.3772457662577691,0.5921052631578947,0.9210526315789473,0.02631578947368421,872.6970000000009,62.0,7.0,17.5,0.0,0.0,3.0,8.0
worst_8_shards,large_peptide_like,72,4,0.0,0.0,0.27508237926910317,0.3225303326422969,0.9027777777777778,0.8611111111111112,0.013888888888888888,592.7075000000002,42.0,6.0,6.0,4.5,0.0,3.0,10.0
worst_8_shards,small_heteroaromatic,19,7,0.21052631578947367,0.21052631578947367,0.43175077673635986,0.4957415779170237,1.0,0.6842105263157895,0.0,370.48900000000015,27.0,3.0,6.0,0.0,0.0,0.0,3.0
worst_8_shards,cyclic_peptide_like,13,12,0.0,0.0,0.3891886209066098,0.5537479909566733,0.9230769230769231,0.8461538461538461,0.0,802.974,58.0,4.0,19.0,7.0,0.0,6.0,10.0
worst_8_shards,lipid_like_flexible,6,6,0.0,0.0,0.3940662195285161,0.47043363749980927,1.0,0.5,0.0,472.1945000000003,33.5,0.0,0.0,0.0,0.0,2.0,17.5
worst_8_shards,cyclic_depsipeptide_like,2,2,0.0,0.0,0.3916320204734802,0.5779967159032822,0.0,1.0,0.0,872.0534999999998,62.5,3.5,20.5,7.0,1.5,8.5,11.5
