chem_class,best_8_shards,middle_20_shards,worst_8_shards,worst_minus_best_share
glycoside_or_sugar_rich,0.08631415241057543,0.18143731872381566,0.37496807151979566,0.2886539191092202
polycyclic_aliphatic_like,0.07179885951270087,0.1557632398753894,0.2053639846743295,0.13356512516162863
large_peptide_like,0.018144116122343183,0.012031367493823181,0.01839080459770115,0.00024668847535796665
cyclic_peptide_like,0.003110419906687403,0.015039209367278978,0.0033205619412515963,0.0002101420345641935
small_aliphatic_or_acyclic,0.0007776049766718507,0.0002148458481039854,0.0,-0.0007776049766718507
other_macrocycle,0.02177293934681182,0.03287141475990976,0.019412515964240103,-0.0023604233825717177
lipid_like_flexible,0.005443234836702955,0.00837898807605543,0.0015325670498084292,-0.003910667786894526
cyclic_depsipeptide_like,0.005702436495593572,0.007627027607691481,0.0005108556832694764,-0.0051915808123240955
other_midsize,0.22913426645930535,0.1689762595337845,0.20383141762452106,-0.025302848834784286
small_heteroaromatic,0.14955935717988594,0.13771618863465462,0.004853128991060026,-0.14470622818882592
aromatic_rich_polycycle,0.4082426127527216,0.279944140079493,0.167816091954023,-0.2404265207986986
