cluster,spectra,unique_targets,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,near_miss_high_tanimoto_share,mol_wt_median,heavy_atoms_median,ring_count_median,max_ring_size_median,amide_count_median,ester_count_median,chiral_centers_median,rotatable_bonds_median
7,363,71,0.0,0.0,0.4547223190548663,0.6273837040278537,0.8650137741046832,0.5977961432506887,0.030303030303030304,783.963,57.0,4.0,18.0,4.0,0.0,6.0,12.0
9,971,30,0.0,0.0,0.3586415200428049,0.5373024146861937,0.82389289392379,0.8846549948506695,0.0010298661174047373,660.7680000000003,48.0,5.0,7.0,2.0,0.0,2.0,12.0
10,1025,24,0.0,0.0,0.3530520077376831,0.4912989095580287,0.7882926829268293,0.7239024390243902,0.0,629.7470000000002,45.0,7.0,6.0,0.0,2.0,14.0,9.0
6,315,33,0.006349206349206349,0.009523809523809525,0.6652153553943786,0.687987520060842,0.7301587301587301,0.2,0.2507936507936508,756.7070000000009,53.0,5.0,6.0,0.0,1.0,14.0,12.0
5,1836,114,0.03758169934640523,0.04793028322440087,0.5714001022806809,0.5706434436101864,0.8872549019607843,0.3888888888888889,0.05119825708061002,785.0250000000005,55.0,6.0,6.0,0.0,0.0,20.0,10.0
3,1177,218,0.0637213254035684,0.06627017841971113,0.39022291686857463,0.49642434752623005,0.929481733220051,0.6830926083262532,0.037383177570093455,518.5620000000004,35.0,2.0,6.0,0.0,0.0,3.0,10.0
1,2288,249,0.08347902097902098,0.10270979020979021,0.5111489224384402,0.584623282592926,0.819493006993007,0.5375874125874126,0.1284965034965035,606.7820000000008,43.0,4.0,6.0,0.0,1.0,8.0,5.0
11,2314,469,0.11279170267934313,0.1313742437337943,0.4458106270505883,0.48262072331050704,0.9688850475367329,0.6296456352636128,0.04019014693171997,425.48800000000017,31.0,4.0,6.0,1.0,0.0,0.0,6.0
8,1664,326,0.13762019230769232,0.15084134615384615,0.495346752277468,0.5374047388322651,0.9368990384615384,0.5612980769230769,0.059495192307692304,454.6110000000003,33.0,4.0,6.0,0.0,0.0,1.0,7.0
0,1636,398,0.18704156479217604,0.20354523227383864,0.5357765353405461,0.5709997511452888,0.9841075794621027,0.4938875305623472,0.050733496332518335,421.36600000000016,29.0,3.0,6.0,1.0,0.0,0.0,6.0
2,1406,446,0.18847795163584638,0.2155049786628734,0.4883941810254861,0.5065292626258998,0.9900426742532006,0.5903271692745377,0.02275960170697013,395.5175000000002,28.0,4.0,6.0,0.0,0.0,0.0,5.0
4,2087,527,0.22807858169621467,0.2501197891710589,0.522270767410006,0.5457528374899959,0.9861044561571634,0.5539051269765213,0.0340201245807379,412.4400000000001,29.0,4.0,6.0,1.0,0.0,1.0,5.0
